title,genre,year,rating,votes,director,duration_min,country,box_office_million
Titanic,Sci-Fi,2014,6.5,4228159,Robert Zemeckis,115,South Korea,2125.37
Dune,Adventure,1998,9.7,2040829,Quentin Tarantino,155,USA,312.43
Mad Max: Fury Road,Adventure,2019,7.7,3426824,Ryan Coogler,138,Germany,1770.08
Avatar,Fantasy,1991,8.3,2627084,Quentin Tarantino,82,UK,2211.44
It,Fantasy,1981,7.1,2542507,Martin Scorsese,179,India,2058.12
The Lion King,Drama,2022,5.9,1696954,Ryan Coogler,82,South Korea,2220.76
The Hunger Games,Adventure,2013,6.2,4849730,Sam Raimi,147,France,1429.86
The Revenant,Sci-Fi,2020,9.6,4097604,Quentin Tarantino,129,France,23.42
Forrest Gump,Fantasy,1987,6.6,1055527,Sam Raimi,163,Canada,2617.51
12 Years a Slave,Animation,2022,5.2,3883738,Quentin Tarantino,202,France,1669.69
It,Animation,2009,6.2,3750910,Quentin Tarantino,197,South Korea,1001.33
Inception,Adventure,1994,9.2,657712,Ryan Coogler,179,India,162.93
The Shawshank Redemption,Animation,2000,9.4,4948009,Robert Zemeckis,122,South Korea,550.63
Thor: Ragnarok,Adventure,1991,8.8,1783744,James Cameron,122,Japan,957.44
Superman,Sci-Fi,1995,6.6,63821,Patty Jenkins,144,Japan,1458.57
Coco,Horror,1999,5.6,3180487,Christopher Nolan,153,Spain,2474.95
Whiplash,Adventure,1997,8.7,4049760,Peter Jackson,119,Japan,1623.67
Big Hero 6,Comedy,1995,7.2,1779945,Martin Scorsese,121,Japan,1416.06
Avatar,Fantasy,1993,5.5,4716051,Sam Raimi,186,UK,1561.62
Inside Out,Action,2021,8.5,4039835,Robert Zemeckis,192,Australia,1742.13
Doctor Strange,Animation,2016,7.1,1262965,Patty Jenkins,85,India,2365.18
Arrival,Sci-Fi,2008,5.3,4795161,Tim Burton,92,Spain,2314.65
Blade Runner 2049,Romance,2009,8.5,3487486,Tim Burton,190,Spain,1093.69
Brave,Comedy,1998,7.7,3650248,Martin Scorsese,114,Australia,1988.68
"Monsters, Inc.",Animation,1992,8.8,2882149,Sam Raimi,89,Japan,1182.43
Shutter Island,Romance,2002,5.5,577420,Sam Raimi,176,Japan,2135.78
Avengers: Endgame,Animation,2013,7.1,2393537,Zack Snyder,162,India,726.19
Kung Fu Panda,Fantasy,1986,8.3,1185507,Denis Villeneuve,80,South Korea,1911.86
Catch Me If You Can,Thriller,1996,8.5,4753714,Patty Jenkins,159,Australia,728.76
Parasite,Romance,1999,9.1,3675715,Tim Burton,134,Canada,1555.57
Justice League,Thriller,2011,5.8,4317353,Sam Raimi,100,Japan,650.47
Tenet,Action,1986,9.3,2376677,Tim Burton,132,USA,1481.19
The Dark Knight,Animation,2007,8.9,3232596,Tim Burton,128,South Korea,1151.91
Aquaman 2,Action,2016,8.8,4070661,Robert Zemeckis,193,Spain,755.44
The Departed,Thriller,2012,4.6,3439675,Denis Villeneuve,147,Spain,381.55
Wonder Woman,Action,1981,9.3,2403336,Ridley Scott,202,Germany,32.22
Black Panther,Thriller,1989,6,1251602,Ridley Scott,131,Germany,1913.1
Brave,Thriller,1991,5.6,4780888,Quentin Tarantino,165,Japan,1003.05
Titanic,Horror,2007,6,1636735,Steven Spielberg,122,Japan,936.23
Aquaman 2,Action,1980,5,3421917,James Cameron,92,Canada,445.35
Brave,Fantasy,2018,9.2,2728929,Zack Snyder,210,South Korea,1946.96
Thor: Ragnarok,Sci-Fi,1983,6.5,3073847,Patty Jenkins,102,Japan,213.22
Django Unchained,Sci-Fi,1996,4.6,190799,Martin Scorsese,131,Germany,1122.67
The Irishman,Sci-Fi,2000,9.7,934243,Robert Zemeckis,191,France,1799.02
Dunkirk,Romance,2020,5.4,754932,Robert Zemeckis,114,Spain,1420.46
The Exorcist,Adventure,1995,5.3,3742348,James Cameron,192,France,2135.05
The Irishman,Horror,2008,8.5,855218,Peter Jackson,142,India,1163.27
Twilight,Sci-Fi,2013,5,4546026,Patty Jenkins,167,USA,225.95
The Dark Knight,Romance,1993,7.2,825169,Ryan Coogler,165,Germany,979.75
Thor: Love and Thunder,Fantasy,1990,5.4,3836685,Ryan Coogler,140,Australia,1075.35
The Incredibles,Romance,2008,7.9,1886937,Sam Raimi,171,Germany,1121.33
Deadpool,Romance,1996,8.9,4172525,Quentin Tarantino,104,Germany,1718.91
Us,Drama,1990,8.3,4665827,Tim Burton,172,India,1228.3
Avatar,Horror,2016,9.3,3400293,Steven Spielberg,93,Australia,2691.37
Doctor Strange: Multiverse of Madness,Comedy,2020,9.6,3795670,Christopher Nolan,163,Australia,2593.58
La La Land,Action,1990,6.1,772455,Christopher Nolan,107,USA,1828.06
Arrival,Romance,2019,8,3801297,Patty Jenkins,175,France,1312.25
The Irishman,Romance,2014,5.3,3273381,Martin Scorsese,190,Canada,1970.72
Catch Me If You Can,Horror,1981,7.9,1873861,Greta Gerwig,137,South Korea,512.28
12 Years a Slave,Sci-Fi,1998,5.9,3993881,Steven Spielberg,147,Japan,1351.92
Doctor Strange: Multiverse of Madness,Fantasy,2008,8.8,1869086,Ridley Scott,105,Australia,2108.01
The Matrix,Thriller,2006,4.7,3053310,Christopher Nolan,92,Australia,2054.48
The Irishman,Action,2007,6.5,4929079,Robert Zemeckis,119,Japan,871.99
Spider-Man: No Way Home,Action,2005,6.1,412773,Christopher Nolan,111,Canada,911.39
Get Out,Horror,2018,9.3,2235131,Tim Burton,205,Australia,380.67
Doctor Strange: Multiverse of Madness,Horror,1989,4.8,3840060,Robert Zemeckis,158,Canada,1214.07
The Shawshank Redemption,Drama,1985,9.2,3507027,Martin Scorsese,117,USA,1795.78
Iron Man,Drama,1997,8.8,1438072,Zack Snyder,103,France,1026.67
The Wolf of Wall Street,Fantasy,2013,8.3,4491689,James Cameron,182,India,1068.54
The Lion King,Horror,2013,8.3,891001,Sam Raimi,97,France,1555.22
The Dark Knight,Romance,1982,8.7,1649974,Sam Raimi,127,India,2552.76
Moana,Action,2005,7,2915674,Robert Zemeckis,171,Japan,2548.65
The Exorcist,Romance,1980,7.5,864926,Ryan Coogler,102,Germany,1011.98
Schindler's List,Fantasy,1992,7.4,860515,Tim Burton,183,UK,2037.05
Blade Runner 2049,Horror,1987,7.4,4808604,Denis Villeneuve,184,USA,2185.19
The Dark Knight,Adventure,2020,7.8,4668468,Sam Raimi,186,UK,504.58
Black Panther,Thriller,2014,7.5,2808498,Ridley Scott,185,Australia,2248.63
Spider-Man: No Way Home,Action,2015,6.7,3379545,Sam Raimi,153,France,1847.84
Saving Private Ryan,Fantasy,2022,5.1,1614637,Sam Raimi,124,Spain,775.43
Whiplash,Adventure,1993,8.8,1429656,Ridley Scott,206,USA,2288.86
Schindler's List,Horror,2017,7.3,4148560,Patty Jenkins,142,UK,528.66
Brave,Fantasy,2004,7.2,4121617,Greta Gerwig,122,UK,1782.43
Tenet,Comedy,1989,7.7,3265046,Patty Jenkins,197,Japan,2151.18
Shrek,Comedy,2010,5.6,4433275,Peter Jackson,205,UK,1966.38
Toy Story,Adventure,2011,9.6,817062,James Cameron,116,Germany,511.38
Catch Me If You Can,Comedy,2009,7.7,4429091,Patty Jenkins,80,Japan,1677.18
Twilight,Sci-Fi,1982,7,4013054,Quentin Tarantino,85,Spain,2697.89
Deadpool,Horror,2008,4.7,4448171,Ridley Scott,127,France,735.57
Inception,Fantasy,2001,7.1,4668459,Steven Spielberg,141,Japan,2412.91
Venom,Adventure,1987,8.4,130238,Robert Zemeckis,114,Germany,684.96
Us,Fantasy,2015,9.2,1757944,Quentin Tarantino,114,France,285.44
Blade Runner 2049,Animation,1991,9.7,1251569,Ridley Scott,177,France,995.98
Encanto,Romance,2002,7.9,3627861,Christopher Nolan,126,Spain,1291.69
Schindler's List,Drama,1993,8,1091996,Sam Raimi,136,Spain,1521.44
Finding Nemo,Horror,1986,5.3,3006014,Peter Jackson,111,USA,41.76
Ant-Man,Drama,1991,7.5,4997292,Christopher Nolan,97,Spain,361.4
X-Men: Days of Future Past,Thriller,1989,6.3,998809,James Cameron,144,France,2449.25
The Departed,Fantasy,1981,9.6,3569421,Ridley Scott,106,India,1813.55
Twilight,Thriller,1980,9.8,2441545,Tim Burton,191,South Korea,553.64
Superman,Action,1981,8.7,780611,Ridley Scott,125,UK,1096.74
Avatar,Drama,1998,4.6,1229638,Christopher Nolan,84,France,714.21
The Irishman,Comedy,2001,6,2309010,James Cameron,80,Japan,686.49
Aquaman 2,Adventure,1985,5,1998701,Martin Scorsese,89,Spain,1867.2
Memento,Romance,2018,5.6,722984,Peter Jackson,171,UK,2678.35
The Flash,Thriller,1987,5.3,1006664,Peter Jackson,157,Germany,515.48
Aquaman,Horror,2009,9.8,4992136,Peter Jackson,184,Japan,2590.49
The Social Network,Romance,2021,4.9,1481907,Tim Burton,188,South Korea,1547.5
It,Comedy,1982,6.9,3420207,Christopher Nolan,131,India,2022.15
Frozen,Romance,2008,8.6,3712087,Christopher Nolan,210,Japan,1554.62
The Departed,Thriller,2009,8.4,4631491,Denis Villeneuve,121,USA,2011.29
Wonder Woman,Fantasy,1988,8.3,232741,Peter Jackson,132,Canada,2312.15
Deadpool,Horror,2011,9.4,3715127,Patty Jenkins,178,Canada,1010.61
Aquaman,Animation,1993,4.6,667132,Robert Zemeckis,152,India,2377.87
The Revenant,Animation,2010,6.6,102166,Ridley Scott,136,Germany,2478.17
The Batman,Romance,1998,6.1,3607450,Christopher Nolan,118,India,2098.6
Shrek,Thriller,1983,8.8,1776973,James Cameron,134,India,2737.37
The Matrix,Drama,1998,5.7,4346269,Tim Burton,97,France,2794.72
Aquaman 2,Horror,2016,9.2,889924,Peter Jackson,153,Japan,293.17
Frozen,Romance,2020,9.4,3438655,Ridley Scott,203,Australia,1266.39
The Social Network,Action,2020,5.5,1431995,Patty Jenkins,110,Spain,2760.87
Aquaman 2,Comedy,1985,5.6,916832,Sam Raimi,84,India,2552.26
The Lion King,Adventure,2001,6.3,1278296,Zack Snyder,206,South Korea,2045.71
Avatar,Horror,2022,9.3,4543212,Zack Snyder,150,Spain,1540.17
Blue Beetle,Drama,2009,4.9,952790,Christopher Nolan,132,Spain,1022.35
It,Adventure,2021,7.5,4236226,James Cameron,150,Japan,776.28
"Monsters, Inc.",Fantasy,2019,9,2019759,Greta Gerwig,155,Australia,1452.39
Luca,Horror,1985,6.4,2154237,Steven Spielberg,151,Canada,1108.14
Whiplash,Fantasy,2002,6,2713431,Christopher Nolan,192,France,60
Barbie,Fantasy,2006,7.7,1055701,Steven Spielberg,209,Australia,1448.11
A Quiet Place,Romance,1987,9.1,4695158,Greta Gerwig,126,South Korea,2554.85
Maze Runner,Horror,2001,6.6,2785,Zack Snyder,95,Japan,2385.85
Doctor Strange: Multiverse of Madness,Fantasy,1982,7.5,2654249,Greta Gerwig,134,South Korea,903.86
It,Sci-Fi,1982,8.5,3998814,Christopher Nolan,138,USA,147.2
Inside Out,Romance,1999,6.4,1758774,James Cameron,122,UK,2059.35
Birdman,Horror,1997,9.1,3277659,James Cameron,101,South Korea,1922.19
Divergent,Fantasy,2017,6.4,1768786,Robert Zemeckis,138,France,1964.4
Encanto,Sci-Fi,1998,7.8,4885772,Quentin Tarantino,163,France,323.29
Thor: Love and Thunder,Sci-Fi,1999,9.7,1722868,Zack Snyder,132,South Korea,1684
Get Out,Animation,2016,6.7,1680447,Peter Jackson,134,UK,1315.12
The Lion King,Animation,2016,6.8,3769716,Zack Snyder,86,UK,223.3
Maze Runner,Thriller,2019,5.4,2685742,Ridley Scott,208,USA,1691.75
Shutter Island,Animation,1998,9.7,4887507,Zack Snyder,162,France,1332.87
The Suicide Squad,Comedy,1986,8.7,110642,James Cameron,84,Canada,2308.83
Interstellar,Thriller,1986,5.7,1424945,Christopher Nolan,169,South Korea,815.96
Kung Fu Panda,Romance,2023,4.9,3297522,Christopher Nolan,178,Spain,2695.84
Tenet,Thriller,1983,4.6,2069340,Ridley Scott,173,Germany,485.18
Interstellar,Thriller,2015,4.8,835889,Patty Jenkins,146,India,2606.08
Justice League,Comedy,1984,9.3,3813845,James Cameron,149,USA,1565.89
Kung Fu Panda,Drama,2016,9.6,1554603,Christopher Nolan,171,Canada,787.93
Tenet,Thriller,2017,7.5,1204860,Martin Scorsese,133,USA,2120.16
The Flash,Romance,2004,7.5,1595362,Ryan Coogler,206,Japan,823.85
Toy Story,Comedy,1998,6.3,1270393,Ridley Scott,183,Germany,2541.45
Brave,Horror,1982,7.2,4502578,Martin Scorsese,118,South Korea,1214.91
Zootopia,Thriller,2017,7,348050,Christopher Nolan,111,Spain,913.68
Venom,Horror,2011,6.5,417532,Robert Zemeckis,142,Australia,2409.01
Coco,Animation,2022,9.2,1904727,James Cameron,101,Germany,1362.89
Venom,Horror,1999,9.5,1362580,James Cameron,200,France,2114.2
Titanic,Animation,2022,6.2,2522647,Patty Jenkins,89,USA,207.18
Frozen II,Drama,2007,7.8,3519791,Tim Burton,191,France,161.69
Encanto,Drama,1986,6.8,1667547,Tim Burton,125,India,1344.56
The Shawshank Redemption,Thriller,2010,6.3,730352,Ryan Coogler,88,USA,2444.92
Divergent,Comedy,2020,7.2,4994827,Ryan Coogler,209,USA,1423.24
Big Hero 6,Sci-Fi,2003,8.5,1218581,Robert Zemeckis,107,Australia,574.13
The Matrix,Thriller,2012,5.6,4689305,James Cameron,117,India,220.86
Thor: Ragnarok,Thriller,2003,6.3,2786161,James Cameron,151,South Korea,1844.53
Doctor Strange,Animation,2021,5,4140363,Ryan Coogler,118,Japan,948.09
Divergent,Animation,2010,9.5,4181033,Patty Jenkins,165,South Korea,2558.6
Venom,Animation,2002,7.9,816367,Greta Gerwig,80,Australia,1349.19
Thor: Ragnarok,Horror,2001,5.4,3894097,Robert Zemeckis,158,USA,140.74
X-Men: Days of Future Past,Romance,2011,6.7,250185,Ryan Coogler,134,France,1582.93
The Flash,Comedy,1981,6.2,4268030,Steven Spielberg,112,Japan,1242.38
Wonder Woman,Adventure,1983,9.1,3438189,Ridley Scott,86,Japan,483.56
Moana,Sci-Fi,1989,8.7,4900536,Steven Spielberg,92,South Korea,1096.38
Captain America: Civil War,Adventure,1988,6.8,3115130,Sam Raimi,190,France,1385.42
The Conjuring,Romance,1993,7.6,2526341,Ryan Coogler,109,UK,1928.16
Big Hero 6,Fantasy,2010,8.3,2292016,Sam Raimi,200,USA,767.79
It Chapter Two,Horror,1983,5.9,965338,James Cameron,110,Japan,646.54
Us,Thriller,1988,8.1,1866710,Steven Spielberg,191,Canada,2718.3
Big Hero 6,Action,2021,8.9,2263218,Denis Villeneuve,210,USA,2681.41
The Incredibles,Sci-Fi,2001,6,850318,Denis Villeneuve,203,UK,529.48
Get Out,Drama,2023,4.9,2477038,Tim Burton,141,South Korea,1820.65
Inside Out,Romance,2022,9.6,2429213,Ridley Scott,148,Australia,95.94
Wonder Woman,Thriller,2010,6.4,2263435,Christopher Nolan,148,Spain,1410.72
The Prestige,Thriller,2017,7.8,591894,Quentin Tarantino,82,Germany,2221.98
Moana,Romance,2015,6.7,248994,Denis Villeneuve,141,Australia,2789.05
Aquaman,Drama,1988,6.3,463889,Denis Villeneuve,172,UK,1799.02
The Flash,Horror,2007,9.7,2057348,Ridley Scott,106,UK,1318.57
Deadpool,Comedy,2002,8.7,4581425,Steven Spielberg,86,Canada,871.72
Memento,Adventure,2013,6.9,1144745,Steven Spielberg,93,USA,1810.18
Wonder Woman,Animation,1996,9.4,3374566,James Cameron,88,UK,2311.93
Black Panther,Comedy,2020,5.7,543222,Robert Zemeckis,105,India,129.84
Ant-Man,Drama,2014,9,537184,Greta Gerwig,85,UK,813.29
Barbie,Action,1989,8.4,1445392,Quentin Tarantino,88,India,787.56
Guardians of the Galaxy,Horror,1991,7.8,2208605,Christopher Nolan,187,Japan,965.36
Inside Out,Animation,1983,8.1,185250,Tim Burton,193,Germany,1989.29
Divergent,Comedy,2020,5.1,1621485,Christopher Nolan,164,Canada,1522.67
Man of Steel,Action,2020,8.7,771036,Sam Raimi,106,Germany,1776.81
A Quiet Place,Horror,1991,6.2,2512658,Ryan Coogler,81,Japan,2227.03
Divergent,Animation,1992,8.9,1020635,Steven Spielberg,167,Japan,1739.85
Logan,Thriller,2012,9,1423079,Martin Scorsese,89,Germany,2200.04
Memento,Drama,2016,8.2,1113222,Ridley Scott,172,France,248.78
Captain America: Civil War,Horror,2017,5.7,1221391,James Cameron,98,Germany,1843.9
Goodfellas,Romance,1993,9.2,3902757,Sam Raimi,175,France,1864.8
Blade Runner 2049,Horror,2009,5.2,4190744,Martin Scorsese,101,Spain,2711.21
Catch Me If You Can,Romance,2019,8.9,3280706,Quentin Tarantino,200,Australia,732.64
The Matrix,Thriller,1991,9.2,4831218,James Cameron,85,Australia,1309.83
The Wolf of Wall Street,Action,2015,7.6,3099012,Steven Spielberg,167,Canada,1673.93
The Shawshank Redemption,Thriller,1992,6,2794151,Peter Jackson,200,India,2741.36
The Revenant,Sci-Fi,1982,5.8,2212078,James Cameron,123,Spain,18.33
Titanic,Drama,1999,5,465868,James Cameron,201,Germany,1569.87
Shrek,Romance,1998,5.1,275974,Christopher Nolan,167,Japan,388.32
Django Unchained,Drama,1993,7.3,3985515,Patty Jenkins,173,Germany,969.69
Memento,Animation,2016,8.8,2248584,James Cameron,121,India,1289.27
Brave,Sci-Fi,1993,6.7,1260986,Martin Scorsese,91,Germany,1740.67
Insidious,Horror,2006,5.4,3625709,James Cameron,150,Germany,1066.6
The Matrix,Comedy,2014,8.8,2030131,Quentin Tarantino,136,France,2453.8
Aquaman,Drama,2021,5.1,67600,Patty Jenkins,181,India,205.53
Blade Runner 2049,Adventure,2013,8.5,3506843,Tim Burton,170,Canada,618.48
Django Unchained,Animation,1980,6.9,3350016,Denis Villeneuve,182,South Korea,2626.27
Arrival,Adventure,1987,9.7,949177,Christopher Nolan,135,USA,1242.4
Mad Max: Fury Road,Adventure,2023,8.8,2790989,Quentin Tarantino,138,Germany,497.37
A Quiet Place,Horror,2009,9,1171676,Martin Scorsese,84,South Korea,1077.24
Toy Story,Horror,2020,5.4,3672432,Martin Scorsese,86,France,1833.35
Tenet,Fantasy,2012,6.9,3701293,Martin Scorsese,97,USA,802.18
La La Land,Fantasy,2001,7.1,923456,Steven Spielberg,210,UK,1957.6
Kung Fu Panda,Horror,2017,5.3,3136890,Robert Zemeckis,84,Japan,2238.73
Venom,Comedy,2001,9.3,4172092,Denis Villeneuve,135,Germany,161.47
The Prestige,Fantasy,2004,7.6,1869455,Greta Gerwig,142,UK,548.63
The Hunger Games,Romance,1999,6.9,3099394,Greta Gerwig,124,Japan,4.88
The Matrix,Comedy,1998,7,4146111,Peter Jackson,166,Germany,519.91
The Hunger Games,Animation,1999,5.3,2355767,Sam Raimi,209,Canada,2272.1
Inglourious Basterds,Romance,1987,6.4,4692750,Patty Jenkins,109,Spain,1410.44
Man of Steel,Adventure,1980,8.7,4904622,Ridley Scott,83,India,2089.96
The Godfather,Action,2008,6.1,863955,Ryan Coogler,98,Australia,1365.69
The Wolf of Wall Street,Drama,1987,5.5,3762214,Peter Jackson,148,South Korea,2516.42
The Wolf of Wall Street,Drama,1994,5.5,3279249,Quentin Tarantino,116,UK,2354.74
The Social Network,Adventure,2020,8.8,2175168,Denis Villeneuve,139,USA,548.16
Memento,Drama,2005,4.7,3981581,Ridley Scott,150,Germany,1052.12
It Chapter Two,Animation,1986,6.6,2071195,Christopher Nolan,127,Germany,2781.33
Maze Runner,Comedy,1995,7.8,616444,Ridley Scott,152,UK,929.29
Moana,Fantasy,1991,9,189474,Denis Villeneuve,203,Canada,2226.29
A Quiet Place,Animation,2000,7.8,3792695,Christopher Nolan,164,Canada,872.21
Logan,Horror,2004,6.5,1904999,Tim Burton,108,Germany,677.48
The Revenant,Horror,2020,5.3,1890865,Martin Scorsese,109,South Korea,821.23
Interstellar,Animation,2022,9.1,58522,Martin Scorsese,189,South Korea,2431.34
Dunkirk,Drama,1984,6.1,3398857,Tim Burton,102,France,1951.15
Twilight,Fantasy,1985,4.9,3947365,Tim Burton,182,Japan,2377.03
It,Romance,2022,9.6,816288,Ryan Coogler,205,Japan,231.63
The Social Network,Drama,2001,6.5,2228746,Peter Jackson,125,Germany,587.6
The Dark Knight,Comedy,1990,4.8,2616912,Greta Gerwig,145,Spain,865.31
Guardians of the Galaxy,Romance,2019,7.6,1860988,Patty Jenkins,98,Japan,2680.38
Luca,Romance,2001,6.9,2686137,Denis Villeneuve,203,India,2501.08
Gladiator,Action,2003,4.9,1233466,Tim Burton,202,Japan,2441.8
Inside Out,Horror,1993,8.2,109912,Christopher Nolan,126,South Korea,2698.02
Twilight,Thriller,2023,8.6,1470824,Ridley Scott,128,UK,467.11
Soul,Horror,1996,8,2942859,Martin Scorsese,125,Canada,1056.24
Aquaman 2,Thriller,1983,9.3,3292708,Tim Burton,152,Germany,1234.28
Kung Fu Panda,Horror,1980,8.4,493538,Greta Gerwig,129,Australia,2609.15
Memento,Action,2008,9.5,3474098,Greta Gerwig,172,UK,2076.88
Goodfellas,Drama,1980,4.6,4937082,Zack Snyder,127,Australia,2762.32
Ratatouille,Action,2004,6.3,2135146,Tim Burton,101,India,1986.58
Ant-Man,Comedy,2023,7.3,4532775,Ridley Scott,171,France,477.97
Thor: Love and Thunder,Thriller,1991,5.7,60312,Ryan Coogler,86,UK,253.79
Oppenheimer,Drama,1988,8.8,1985411,Steven Spielberg,160,Japan,70.15
The Matrix,Adventure,2007,7,2056056,James Cameron,98,Germany,388.5
Forrest Gump,Horror,2007,4.9,2870612,Ridley Scott,158,Germany,1557.55
Titanic,Romance,2011,8.6,3208663,Ridley Scott,94,Japan,558.15
Shang-Chi,Comedy,1996,9.8,2748573,Quentin Tarantino,196,Australia,2159.25
Ratatouille,Horror,2014,4.8,4690833,Tim Burton,99,India,1314.06
12 Years a Slave,Romance,2016,4.8,1480842,Denis Villeneuve,129,Australia,666
The Departed,Drama,2019,9,3173110,Robert Zemeckis,180,USA,1915.5
Goodfellas,Comedy,2020,8.1,1217244,Denis Villeneuve,139,USA,184.56
The Suicide Squad,Horror,1982,4.7,1931051,Denis Villeneuve,131,France,2081.57
Aquaman 2,Comedy,2012,5.4,4423517,Zack Snyder,81,Australia,1401.92
Birdman,Thriller,2005,5.4,2289174,Greta Gerwig,146,UK,1066.87
The Shawshank Redemption,Animation,2008,9.7,1299810,Robert Zemeckis,181,South Korea,60.53
The Matrix,Fantasy,2005,8.4,2166365,Robert Zemeckis,146,South Korea,1021.81
Django Unchained,Horror,2005,4.7,1378687,Ridley Scott,195,Australia,616.12
Luca,Comedy,1991,5.2,3469365,Zack Snyder,201,South Korea,581.05
Inside Out,Animation,2019,5.5,2722369,Sam Raimi,170,South Korea,33.73
The Dark Knight,Comedy,2010,8.2,4594599,Steven Spielberg,134,Australia,1774.03
Titanic,Fantasy,2023,9.6,4006761,Peter Jackson,183,UK,195.26
The Wolf of Wall Street,Sci-Fi,2002,7.1,4166303,James Cameron,173,Japan,1792.64
Oppenheimer,Fantasy,1986,8.7,2073146,Denis Villeneuve,138,Japan,2461.12
Aquaman,Romance,2019,5.8,2593618,Steven Spielberg,122,France,2039.25
Avengers: Endgame,Drama,2000,9.7,644107,Sam Raimi,87,India,2369.41
It Chapter Two,Sci-Fi,1985,6.8,3421172,Martin Scorsese,186,UK,1968.61
Black Panther,Horror,1984,8.8,1927968,Patty Jenkins,179,Canada,1604.77
Schindler's List,Action,2005,9.1,2512669,Sam Raimi,124,South Korea,1823.68
Schindler's List,Horror,2000,5.6,2609374,Zack Snyder,118,Australia,2794.29
Luca,Fantasy,2000,7.4,495158,Peter Jackson,109,UK,44.39
Blue Beetle,Drama,1985,4.8,3421658,James Cameron,114,Japan,2166.82
Avengers: Endgame,Drama,1999,4.8,1151899,Martin Scorsese,93,Germany,651.67
Joker,Sci-Fi,2022,5.3,3875667,Greta Gerwig,164,Spain,1521.63
The Godfather,Sci-Fi,2019,4.7,2407498,Zack Snyder,107,India,1080.56
Shang-Chi,Horror,2018,7.3,4433470,Steven Spielberg,173,Spain,2130.7
The Exorcist,Sci-Fi,1983,9.7,592784,Patty Jenkins,88,India,1503.05
The Batman,Animation,2008,8.8,494358,Tim Burton,100,India,2238.56
Justice League,Horror,2021,8.4,1069302,Peter Jackson,94,Japan,2574.44
Toy Story,Adventure,2001,5.3,4930107,Ryan Coogler,125,Canada,735.62
Toy Story,Horror,1995,4.8,2181217,Christopher Nolan,107,India,2073.02
The Suicide Squad,Thriller,1997,7.4,2520220,Tim Burton,154,France,469.37
Whiplash,Adventure,2022,6.8,4347528,Tim Burton,125,France,1451.86
Twilight,Drama,2001,6.8,1027921,Steven Spielberg,85,Japan,1691.23
Justice League,Action,1996,5.1,3400908,Peter Jackson,174,USA,496.15
Soul,Adventure,1982,6.8,2981500,Martin Scorsese,126,Japan,582.98
Insidious,Fantasy,1994,9.6,4852053,Greta Gerwig,195,Japan,357.62
Avengers: Endgame,Romance,1994,5.9,4859240,Patty Jenkins,110,Australia,777.36
Frozen II,Drama,2015,8.5,4452977,Steven Spielberg,176,Japan,1803.26
Wall-E,Adventure,1985,5.3,4775656,Martin Scorsese,171,Japan,109.53
Black Panther,Drama,1987,6.3,2011245,Ridley Scott,107,India,1518.24
Pulp Fiction,Thriller,1983,8,4504232,Quentin Tarantino,166,Australia,739.38
Inside Out,Romance,2004,8.1,95677,James Cameron,183,Germany,1418.07
Moana,Thriller,2001,9.4,1719036,Quentin Tarantino,110,Australia,2711.74
12 Years a Slave,Sci-Fi,2014,5.7,65340,Martin Scorsese,117,France,2100.71
Maze Runner,Drama,2010,9,313895,James Cameron,111,India,2.95
Aquaman,Action,1992,6.3,4966686,Quentin Tarantino,172,Japan,1411.96
Justice League,Drama,1987,5.7,1251103,Steven Spielberg,157,Australia,1940.65
Eternals,Action,2010,8.6,3483435,Steven Spielberg,178,Japan,1993.42
Saving Private Ryan,Thriller,1988,6.1,1276619,Steven Spielberg,195,Australia,2429.53
Twilight,Adventure,1986,4.6,3821066,Christopher Nolan,111,Germany,2674.27
Get Out,Fantasy,1982,4.7,2518544,Greta Gerwig,119,Canada,2475.16
The Lion King,Fantasy,2004,8.2,1709255,Sam Raimi,106,Canada,328.53
Thor: Ragnarok,Thriller,1993,5.3,2204617,Patty Jenkins,190,USA,2699.45
Catch Me If You Can,Fantasy,1980,5.1,179469,Ridley Scott,136,Spain,531.12
Man of Steel,Thriller,1988,4.7,3289621,Sam Raimi,169,Canada,58.03
The Departed,Sci-Fi,2015,8.5,2690636,Ryan Coogler,154,Japan,73.6
Doctor Strange: Multiverse of Madness,Comedy,2007,7.2,4783689,Quentin Tarantino,112,Germany,1121.64
The Prestige,Romance,2003,8.3,2916212,Patty Jenkins,148,USA,2617.18
Venom,Comedy,1998,7.2,1824423,Ryan Coogler,160,Spain,1221.81
The Flash,Animation,1989,9.4,1983612,Tim Burton,172,USA,1799.08
Goodfellas,Sci-Fi,1995,7.8,4455907,Robert Zemeckis,154,USA,2525.67
Shang-Chi,Drama,1996,6.8,2185663,Tim Burton,99,France,1323.21
Doctor Strange,Drama,1993,9,3242481,Robert Zemeckis,132,Germany,604.36
Venom,Adventure,2022,9.5,3679659,Christopher Nolan,81,Australia,2344.22
Whiplash,Adventure,2012,6.8,3770513,Christopher Nolan,163,France,2113.42
Memento,Fantasy,2018,7.2,2769518,James Cameron,191,Canada,2397.39
Mad Max: Fury Road,Adventure,1985,4.6,4176113,Christopher Nolan,175,Japan,176.47
Eternals,Comedy,2021,8.7,2792670,Ridley Scott,166,Spain,2635.39
The Shawshank Redemption,Comedy,2003,7.4,2568242,Tim Burton,194,Japan,450.77
Coco,Action,1987,5.2,4674669,Tim Burton,95,Spain,358.71
